prompt,dream,symbols,input,len,input_tokens_len,hash,interpretation
"Given dream description, interpret the meaning of the dream.  Provided also are the dream symbols that appear in the dream and their meanings.  Use the dream symbols meanings to help you interpret the dream. ","Taking E. and others to psychopathic hospital. Long line of people, a glimpse of chains. Inquire of doctor if better to see E. to bid farewell. E. appears standing on small balcony. (E., my small nephew now looks more like brother J. I.) then suddenly he is riding a two-headed wooden rocking horse that bobs along in rocking motion."," - Haunted:  To dream that you are being haunted indicates early unpleasant traumas and repressed feelings or memories. You are experiencing some fear or guilt about your past activities and thoughts.
 - Illness:  To dream that you have an illness denotes despair, unpleasant changes, or some emotional breakdown. The illness may be symbolic of your inability to cope with a situation. You see that being ill is an easy way out. On a more direct note, this dream may signal you to pay closer attention to your health especially to the areas of body revealed in the dream.
 - Near Death Experience:  To have a near death experience in your dream implies that you are experience a relapse of sorts. You are reverting back to your old habits and ways. Alternatively, the dream indicates that you are being given a second chance or second try at something.
 - Paranormal:  To dream that objects are moving on its own or that switches and electronics are turning on/off or some other paranormal activity indicates that you are refusing to take responsibility for your actions. The dream is also saying that you tend to let things happen instead of making things happen.
 - Vertigo:  To dream that you have vertigo indicates an imbalance and lack of confidence in some situation. You are experiencing feelings of anxiety and discomfort.","### Instruction:
Given dream description, interpret the meaning of the dream.  Provided also are the dream symbols that appear in the dream and their meanings.  Use the dream symbols meanings to help you interpret the dream.

### Dream:
Taking E. and others to psychopathic hospital. Long line of people, a glimpse of chains. Inquire of doctor if better to see E. to bid farewell. E. appears standing on small balcony. (E., my small nephew now looks more like brother J. I.) then suddenly he is riding a two-headed wooden rocking horse that bobs along in rocking motion.

### Symbols:
- Haunted:  To dream that you are being haunted indicates early unpleasant traumas and repressed feelings or memories. You are experiencing some fear or guilt about your past activities and thoughts.
 - Illness:  To dream that you have an illness denotes despair, unpleasant changes, or some emotional breakdown. The illness may be symbolic of your inability to cope with a situation. You see that being ill is an easy way out. On a more direct note, this dream may signal you to pay closer attention to your health especially to the areas of body revealed in the dream.
 - Near Death Experience:  To have a near death experience in your dream implies that you are experience a relapse of sorts. You are reverting back to your old habits and ways. Alternatively, the dream indicates that you are being given a second chance or second try at something.
 - Paranormal:  To dream that objects are moving on its own or that switches and electronics are turning on/off or some other paranormal activity indicates that you are refusing to take responsibility for your actions. The dream is also saying that you tend to let things happen instead of making things happen.
 - Vertigo:  To dream that you have vertigo indicates an imbalance and lack of confidence in some situation. You are experiencing feelings of anxiety and discomfort.

### Interpretation:",1935,435,3f99473f9ad43a7e75d028f58ded0aa7,"Haunted: To dream that you are being haunted indicates early unpleasant traumas and repressed feelings or memories. You are experiencing some fear or guilt about your past activities and thoughts. You are experiencing some fear or guilt about your past activities and thoughts. You are reverting back to your old habits and ways. Alternatively, the dream implies that you are being given a second chance or second try at something."
"Given dream description, interpret the meaning of the dream.  Provided also are the dream symbols that appear in the dream and their meanings.  Use the dream symbols meanings to help you interpret the dream. ","I'm visiting an institution that used to be a prison that I and many members of my family were incarcerated in when I was a child. My cousin Adrian was also there when he was a child - he was badly treated, however he doesn't remember. We had a look around - it didn't seem at all like a prison today - more like a swimming pool or health complex with lots of steel, glass and carpet tiles."," - Imprisonment:  To dream that you are imprisoned suggests that you are feeling trapped or unable to move beyond a certain point. Perhaps your outdated beliefs or old ways of thinking is preventing you from going forward.
 - Jail:  To dream that you are in jail suggests that you are feeling restrained or censored in your work environment, relationship or situation in your life. You are feeling confined and suffocated. Alternatively, it represents self-punishment and guilt. You are involved in some wrongdoing.
 - Neglect:  To feel neglected in your dream r epresents some aspect of yourself which you are not paying enough attention to. Perhaps you are overlooking something. Alternatively, it may reflect your real waking experiences of being neglected.
 - Refugee:  To dream that you are a refugee refers to feelings of rejection by society. You feel emotionally isolated and that you do not belong anywhere. Alternatively, the dream means that you are trying to escape a situation or issue instead of confronting it.
 - Waterbed:  To see a waterbed in our dream suggests that you are slowly acknowledging aspects of your subconscious. You are recognizing certain unexpressed energy, particularly issues dealing with sexuality, fear, aggression, etc.","### Instruction:
Given dream description, interpret the meaning of the dream.  Provided also are the dream symbols that appear in the dream and their meanings.  Use the dream symbols meanings to help you interpret the dream.

### Dream:
I'm visiting an institution that used to be a prison that I and many members of my family were incarcerated in when I was a child. My cousin Adrian was also there when he was a child - he was badly treated, however he doesn't remember. We had a look around - it didn't seem at all like a prison today - more like a swimming pool or health complex with lots of steel, glass and carpet tiles.

### Symbols:
- Imprisonment:  To dream that you are imprisoned suggests that you are feeling trapped or unable to move beyond a certain point. Perhaps your outdated beliefs or old ways of thinking is preventing you from going forward.
 - Jail:  To dream that you are in jail suggests that you are feeling restrained or censored in your work environment, relationship or situation in your life. You are feeling confined and suffocated. Alternatively, it represents self-punishment and guilt. You are involved in some wrongdoing.
 - Neglect:  To feel neglected in your dream r epresents some aspect of yourself which you are not paying enough attention to. Perhaps you are overlooking something. Alternatively, it may reflect your real waking experiences of being neglected.
 - Refugee:  To dream that you are a refugee refers to feelings of rejection by society. You feel emotionally isolated and that you do not belong anywhere. Alternatively, the dream means that you are trying to escape a situation or issue instead of confronting it.
 - Waterbed:  To see a waterbed in our dream suggests that you are slowly acknowledging aspects of your subconscious. You are recognizing certain unexpressed energy, particularly issues dealing with sexuality, fear, aggression, etc.

### Interpretation:",1920,435,dc77577ef2281ba61c1859a5b3bcfe58,"The dreamer is visiting an institution that used to be a prison that many members of his family were incarcerated in when he was a child. His cousin Adrian was also there when he was a child - he was badly treated, however he doesn't remember. We had a look around the institution that used to be a prison that didn't seem at all like a prison today - more like a swimming pool or health complex with lots of steel, glass and carpet tiles with lots of steel, glass and carpet tiles."
"Given dream description, interpret the meaning of the dream.  Provided also are the dream symbols that appear in the dream and their meanings.  Use the dream symbols meanings to help you interpret the dream. ","I have never seen this celebrated house (the Fairbanks Mansion) at Dedham, though its picture is familiar enough. When I viewed it in my dream the only odd thing I noted was that the middle section of the long, rambling building was built of brick. Around the homestead stretched green fields in full sunshine. All was peaceful and quiet excepting that across the road a barn was burning with more smoke than flame. I felt a mild concern for the historic house, but, considering its distance from the ire and the stillness of the air, I believed it to be reasonably safe."," - Haunted:  To dream that you are being haunted indicates early unpleasant traumas and repressed feelings or memories. You are experiencing some fear or guilt about your past activities and thoughts.
 - Haunted House:  To dream of a haunted house signifies unfinished emotional business related to your childhood family, dead relatives, or repressed memories and feelings.
 - Mansion:  To see a mansion in your dream symbolizes your greatest potential and growth. You may feel that your current situation or relationship is in a rut. Dreaming of a mansion in the sky signifies your lofty goals. The dream may also mean that you feel you are above everyone else to the point where you want to isolate yourself. Manslaughter *Please See Murder.
 - Tea House:  To dream that you are at tea house symbolizes your social life. It is time to call up old friends and catch up with what they are all up to.
 - Village:  To dream that you are in a village represents restrictions. You need to follow the rules. Alternatively, a village signifies community, simplicity, and tradition.","### Instruction:
Given dream description, interpret the meaning of the dream.  Provided also are the dream symbols that appear in the dream and their meanings.  Use the dream symbols meanings to help you interpret the dream.

### Dream:
I have never seen this celebrated house (the Fairbanks Mansion) at Dedham, though its picture is familiar enough. When I viewed it in my dream the only odd thing I noted was that the middle section of the long, rambling building was built of brick. Around the homestead stretched green fields in full sunshine. All was peaceful and quiet excepting that across the road a barn was burning with more smoke than flame. I felt a mild concern for the historic house, but, considering its distance from the ire and the stillness of the air, I believed it to be reasonably safe.

### Symbols:
- Haunted:  To dream that you are being haunted indicates early unpleasant traumas and repressed feelings or memories. You are experiencing some fear or guilt about your past activities and thoughts.
 - Haunted House:  To dream of a haunted house signifies unfinished emotional business related to your childhood family, dead relatives, or repressed memories and feelings.
 - Mansion:  To see a mansion in your dream symbolizes your greatest potential and growth. You may feel that your current situation or relationship is in a rut. Dreaming of a mansion in the sky signifies your lofty goals. The dream may also mean that you feel you are above everyone else to the point where you want to isolate yourself. Manslaughter *Please See Murder.
 - Tea House:  To dream that you are at tea house symbolizes your social life. It is time to call up old friends and catch up with what they are all up to.
 - Village:  To dream that you are in a village represents restrictions. You need to follow the rules. Alternatively, a village signifies community, simplicity, and tradition.

### Interpretation:",1918,435,15958a8b6775479532cbe9dd2f4c3311,The house is a historic one.
"Given dream description, interpret the meaning of the dream.  Provided also are the dream symbols that appear in the dream and their meanings.  Use the dream symbols meanings to help you interpret the dream. ","We are on a farm with meadows; see water troughs; a black dog like Zena's. Later I see a poor woman with sad blue eyes, who ordered items from Sears catalogue, and she checks them off and gives or sells them to us (candles, odds and ends), vivid image of the woman as she hands me the various items. I don't really want them and tell Willie sternly he must come with us on the trip. Father Andrew is there too; he shows his children his gold watch. ending?"," - Fairy Tale:  To dream that you are a character in a fairy tale suggests your need to be rescued or to be swept off your feet. It also indicates that you are exploring your limits and trying to awaken your fullest potential.
 - Magnolia Tree:  To see a magnolia tree in your dream indicates your need for attention and to be noticed. Perhaps you are overly confident in your abilities. Alternatively, the magnolia tree represents your need to feel protected and safe from life's problems.
 - Nanny:  To see or dream that you have a nanny implies that you are feeling overwhelmed. You feel that certain aspects of yourself are being neglected.
 - Pandora's Box:  To dream of a Pandora's box indicates hope. You will soon experience a turn for the better. Alternatively, it symbolizes your curiosity, your subconscious thoughts and your need to express them.
 - Yard Sale:  To hold or be at a yard sale in your dream indicates that you are recycling past experiences and finding use for your old skills and ideas. You are learning from your past and making productive use of the lessons you have learned.","### Instruction:
Given dream description, interpret the meaning of the dream.  Provided also are the dream symbols that appear in the dream and their meanings.  Use the dream symbols meanings to help you interpret the dream.

### Dream:
We are on a farm with meadows; see water troughs; a black dog like Zena's. Later I see a poor woman with sad blue eyes, who ordered items from Sears catalogue, and she checks them off and gives or sells them to us (candles, odds and ends), vivid image of the woman as she hands me the various items. I don't really want them and tell Willie sternly he must come with us on the trip. Father Andrew is there too; he shows his children his gold watch. ending?

### Symbols:
- Fairy Tale:  To dream that you are a character in a fairy tale suggests your need to be rescued or to be swept off your feet. It also indicates that you are exploring your limits and trying to awaken your fullest potential.
 - Magnolia Tree:  To see a magnolia tree in your dream indicates your need for attention and to be noticed. Perhaps you are overly confident in your abilities. Alternatively, the magnolia tree represents your need to feel protected and safe from life's problems.
 - Nanny:  To see or dream that you have a nanny implies that you are feeling overwhelmed. You feel that certain aspects of yourself are being neglected.
 - Pandora's Box:  To dream of a Pandora's box indicates hope. You will soon experience a turn for the better. Alternatively, it symbolizes your curiosity, your subconscious thoughts and your need to express them.
 - Yard Sale:  To hold or be at a yard sale in your dream indicates that you are recycling past experiences and finding use for your old skills and ideas. You are learning from your past and making productive use of the lessons you have learned.

### Interpretation:",1832,435,36235d561163682815ac7d1386c5dbf8,The poor woman with blue eyes is a nanny.
"Given dream description, interpret the meaning of the dream.  Provided also are the dream symbols that appear in the dream and their meanings.  Use the dream symbols meanings to help you interpret the dream. ","My brother's wife (4 yrs. my senior) was in some way going to hurt my 25 yr. old brother M. I became very angry and threatened to kill her. The anger in my dream was very intense. Interpretation Mother is rather prejudiced and has told me some things that E. has done which our family considers wrong such as disrespect, etc. In my dreams I must have magnified these wrongs till I made up something big. Answers to questions 2. Intensely angry3. Actual Participant4. Unpleasant5. No where6. No7. No colors"," - Haunted:  To dream that you are being haunted indicates early unpleasant traumas and repressed feelings or memories. You are experiencing some fear or guilt about your past activities and thoughts.
 - Haunted House:  To dream of a haunted house signifies unfinished emotional business related to your childhood family, dead relatives, or repressed memories and feelings.
 - Incest:  If this dream relates to real-life experiences with incest, then you need to seek professional advice or counseling.
 - Near Death Experience:  To have a near death experience in your dream implies that you are experience a relapse of sorts. You are reverting back to your old habits and ways. Alternatively, the dream indicates that you are being given a second chance or second try at something.
 - Vow:  To dream that you are making a vow represents a promise you made that will affect others. The dream is a reaffirmation of your promise and to not let someone down. In particular, to dream that you are listening or making marriage vows signifies a commitment to your life partner.","### Instruction:
Given dream description, interpret the meaning of the dream.  Provided also are the dream symbols that appear in the dream and their meanings.  Use the dream symbols meanings to help you interpret the dream.

### Dream:
My brother's wife (4 yrs. my senior) was in some way going to hurt my 25 yr. old brother M. I became very angry and threatened to kill her. The anger in my dream was very intense. Interpretation Mother is rather prejudiced and has told me some things that E. has done which our family considers wrong such as disrespect, etc. In my dreams I must have magnified these wrongs till I made up something big. Answers to questions 2. Intensely angry3. Actual Participant4. Unpleasant5. No where6. No7. No colors

### Symbols:
- Haunted:  To dream that you are being haunted indicates early unpleasant traumas and repressed feelings or memories. You are experiencing some fear or guilt about your past activities and thoughts.
 - Haunted House:  To dream of a haunted house signifies unfinished emotional business related to your childhood family, dead relatives, or repressed memories and feelings.
 - Incest:  If this dream relates to real-life experiences with incest, then you need to seek professional advice or counseling.
 - Near Death Experience:  To have a near death experience in your dream implies that you are experience a relapse of sorts. You are reverting back to your old habits and ways. Alternatively, the dream indicates that you are being given a second chance or second try at something.
 - Vow:  To dream that you are making a vow represents a promise you made that will affect others. The dream is a reaffirmation of your promise and to not let someone down. In particular, to dream that you are listening or making marriage vows signifies a commitment to your life partner.

### Interpretation:",1849,435,a0d6bdb796db385471615516dc650ef3,"Haunted House: To dream of a haunted house signifies unfinished emotional business related to your childhood family, dead relatives, or repressed memories and feelings. You are experiencing some fear or guilt about your past activities and thoughts. You are experiencing some fear or guilt about your past activities and thoughts. You are experiencing some fear or guilt about your past activities and thoughts. To dream of a haunted house signifies unfinished emotional business related to your childhood family, dead relatives, or repressed memories and feelings. You are experiencing some fear or guilt about your past activities and thoughts. To dream of a haunted house signifies unfinished emotional business related to your childhood family, dead relatives, or repressed memories and feelings."
"Given dream description, interpret the meaning of the dream.  Provided also are the dream symbols that appear in the dream and their meanings.  Use the dream symbols meanings to help you interpret the dream. ","I was watching La Piscine and some of it was in English. People were complaining because of the way everyone pronounced something, like 'I am teh pool'. There was a scene where Alain Delon was going into the pool and Romy Schneider was going crazy. It reminded me of a scene from Christine and then I remembered that was a different movie."," - Accent:  To speak with an accent in your dream suggests that you are having difficulties conveying your thoughts. Consider how you feel about the accent. If you feel the accent makes you stand out in a negative way, then it signifies feelings of insecurities. If the accent makes you stand out in a positive way, then it symbolizes an air of confidence.
 - Cast:  To dream that you are wearing a cast suggests that your motion is being inhibited in some way. Or that you need to show some restraint in an area of your life. Consider which part of the body is in a cast. Alternatively, a cast symbolizes a time of healing and discipline.
 - Paris:  To dream that you are in Paris symbolizes your need for romance and passion. It also suggests that you are a person of distinction. You own personal experiences and knowledge of Paris will supersede the suggested interpretation here.
 - Seasick:  To dream that you are seasick represents emotions that are dragging you and weighing you down. You need to get rid of these feelings.
 - Tango:  To dream that you are dancing the tango signifies sensuality, intensity, and drama. Perhaps you need to exhibit these qualities in your work or relationship. Also consider the proverb 'it takes two to tango' which refers to mutual cooperation and teamwork.","### Instruction:
Given dream description, interpret the meaning of the dream.  Provided also are the dream symbols that appear in the dream and their meanings.  Use the dream symbols meanings to help you interpret the dream.

### Dream:
I was watching La Piscine and some of it was in English. People were complaining because of the way everyone pronounced something, like 'I am teh pool'. There was a scene where Alain Delon was going into the pool and Romy Schneider was going crazy. It reminded me of a scene from Christine and then I remembered that was a different movie.

### Symbols:
- Accent:  To speak with an accent in your dream suggests that you are having difficulties conveying your thoughts. Consider how you feel about the accent. If you feel the accent makes you stand out in a negative way, then it signifies feelings of insecurities. If the accent makes you stand out in a positive way, then it symbolizes an air of confidence.
 - Cast:  To dream that you are wearing a cast suggests that your motion is being inhibited in some way. Or that you need to show some restraint in an area of your life. Consider which part of the body is in a cast. Alternatively, a cast symbolizes a time of healing and discipline.
 - Paris:  To dream that you are in Paris symbolizes your need for romance and passion. It also suggests that you are a person of distinction. You own personal experiences and knowledge of Paris will supersede the suggested interpretation here.
 - Seasick:  To dream that you are seasick represents emotions that are dragging you and weighing you down. You need to get rid of these feelings.
 - Tango:  To dream that you are dancing the tango signifies sensuality, intensity, and drama. Perhaps you need to exhibit these qualities in your work or relationship. Also consider the proverb 'it takes two to tango' which refers to mutual cooperation and teamwork.

### Interpretation:",1910,435,bb96a569ffdc64f1bd3c16999b4b6b54,"I was watching La Piscine and some of it was in English. People were complaining because of the way everyone pronounced something, like 'I am teh pool'. There was a scene where Alain Delon was going into the pool and Romy Schneider was going crazy. It reminded me of a scene from Christine and then I remembered that was a different movie."
"Given dream description, interpret the meaning of the dream.  Provided also are the dream symbols that appear in the dream and their meanings.  Use the dream symbols meanings to help you interpret the dream. ",I was at Aunt Sally's. She wanted me to redesign the dining area and the lounge room. They went to bed and I tried to decide what the best thing to do was. She came out at one point and I said I hadn't thought of anything. I was also at work at some point spraying the window on the rotisserie oven.," - Barbecue:  To dream of a barbecue refers to a minor issue or transformation occurring in your waking life.
 - Cafe:  To dream that you are at a cafe represents your social life. The dream is telling you that it is time to call up old friends and catch up with what they are all up to.
 - Cafeteria:  To dream that you are in a cafeteria denotes that there may be a lot of issues 'eating' you up inside.
 - Halloween:  To dream of Halloween signifies death and the underworld. Halloween also represents the temporary adoption of a new persona where you feel less inhibited and more comfortable to freely express yourself. You may also be trying to hide your true self. Alternatively, dreaming of Halloween reflects your childhood and the corresponding feelings that you associated with the holiday.
 - Kitchen:  To see a kitchen in your dream signifies your need for warmth, spiritual nourishment and/or some emotional healing. It may also symbolize the nurturing mother and how you are there for your loved ones. Alternatively, the kitchen represents a transformation; something new or life altering is about to occur. The dream could also be telling you that if 'you can't stand the heat, then you need to get out of the kitchen'. In other words, it is time to abort your plans.","### Instruction:
Given dream description, interpret the meaning of the dream.  Provided also are the dream symbols that appear in the dream and their meanings.  Use the dream symbols meanings to help you interpret the dream.

### Dream:
I was at Aunt Sally's. She wanted me to redesign the dining area and the lounge room. They went to bed and I tried to decide what the best thing to do was. She came out at one point and I said I hadn't thought of anything. I was also at work at some point spraying the window on the rotisserie oven.

### Symbols:
- Barbecue:  To dream of a barbecue refers to a minor issue or transformation occurring in your waking life.
 - Cafe:  To dream that you are at a cafe represents your social life. The dream is telling you that it is time to call up old friends and catch up with what they are all up to.
 - Cafeteria:  To dream that you are in a cafeteria denotes that there may be a lot of issues 'eating' you up inside.
 - Halloween:  To dream of Halloween signifies death and the underworld. Halloween also represents the temporary adoption of a new persona where you feel less inhibited and more comfortable to freely express yourself. You may also be trying to hide your true self. Alternatively, dreaming of Halloween reflects your childhood and the corresponding feelings that you associated with the holiday.
 - Kitchen:  To see a kitchen in your dream signifies your need for warmth, spiritual nourishment and/or some emotional healing. It may also symbolize the nurturing mother and how you are there for your loved ones. Alternatively, the kitchen represents a transformation; something new or life altering is about to occur. The dream could also be telling you that if 'you can't stand the heat, then you need to get out of the kitchen'. In other words, it is time to abort your plans.

### Interpretation:",1853,435,f4c3995b713581fe8de0eac82e82d697,Aunt Sally wanted me to redesign the dining area and the lounge room. They went to bed and I tried to decide what the best thing to do was. She came out at one point and I said I hadn't thought of anything. I was also at work at some point spraying the window on the rotisserie oven.
"Given dream description, interpret the meaning of the dream.  Provided also are the dream symbols that appear in the dream and their meanings.  Use the dream symbols meanings to help you interpret the dream. ","We were inside of a big rock. We had it hollowed out into one big room. It was about a hundred feet high and the same for the width of the inside. I looked up at the high ceiling and walls and said, ""What a nice, smooth, hard rock."" We had done a good job. I was peeling off the rock crust which made the rock smooth and polished like. I was also peeling the skin off an apple with my fingernails, the rock also with my nails. We had some rocks on the lawn also."," - Lava:  To see lava in your dream signifies violent anger which you have kept inside for a period of time. **See The Meaning In Action
 - Mantle:  To see a mantle in your dream symbolizes warmth, family and togetherness. It represents the things and aspects of yourself that you share and display to others. Consider what is on the mantle and its significance.
 - Marble:  To see or play with marbles in your dream symbolize your perceptiveness, insightfulness and observation. If you are polishing a marble, then it represents your enduring efforts and perseverance. To see something made of marble in your dream refers to your solid stance on an argument. Alternatively, maybe represents opulence and luxury.
 - Nail Polish:  To polish your nails in your dream suggests that you need to put more focus onto what you are doing and what you are trying to accomplish.
 - Scratch:  To dream that you are scratching yourself symbolizes a minor irritation or frustration. Perhaps something that started out as minor may have the potential to become worse. Or somebody may have hit a sore spot in you.","### Instruction:
Given dream description, interpret the meaning of the dream.  Provided also are the dream symbols that appear in the dream and their meanings.  Use the dream symbols meanings to help you interpret the dream.

### Dream:
We were inside of a big rock. We had it hollowed out into one big room. It was about a hundred feet high and the same for the width of the inside. I looked up at the high ceiling and walls and said, ""What a nice, smooth, hard rock."" We had done a good job. I was peeling off the rock crust which made the rock smooth and polished like. I was also peeling the skin off an apple with my fingernails, the rock also with my nails. We had some rocks on the lawn also.

### Symbols:
- Lava:  To see lava in your dream signifies violent anger which you have kept inside for a period of time. **See The Meaning In Action
 - Mantle:  To see a mantle in your dream symbolizes warmth, family and togetherness. It represents the things and aspects of yourself that you share and display to others. Consider what is on the mantle and its significance.
 - Marble:  To see or play with marbles in your dream symbolize your perceptiveness, insightfulness and observation. If you are polishing a marble, then it represents your enduring efforts and perseverance. To see something made of marble in your dream refers to your solid stance on an argument. Alternatively, maybe represents opulence and luxury.
 - Nail Polish:  To polish your nails in your dream suggests that you need to put more focus onto what you are doing and what you are trying to accomplish.
 - Scratch:  To dream that you are scratching yourself symbolizes a minor irritation or frustration. Perhaps something that started out as minor may have the potential to become worse. Or somebody may have hit a sore spot in you.

### Interpretation:",1832,434,600d566c24562a9f6d33e5b3730a7dc8,The dreamer is a man who is working on a rock.
"Given dream description, interpret the meaning of the dream.  Provided also are the dream symbols that appear in the dream and their meanings.  Use the dream symbols meanings to help you interpret the dream. ","I began to distribute the bathing suits to my family (?) two men and three women. Gave the first woman a wrinkled pink suit. When I came to the men found stiff white brassieres in their suits. At first threw them away, then thought they might be changed to eyeshades for Miss Couch. Went back to find suits but couldn't find them."," - Cap And Gown:  To wear a cap and gown in your dream indicates that you are transitioning into a higher level in your life. You are ready to move on to the next stage. To see someone in a cap and gown in your dream symbolizes your successes and accomplishments.
 - Earmuffs:  To dream that you are wearing earmuffs means that you have a tendency to hear what you want to hear and not what was actually said. If you see someone else wearing earmuffs, then it implies that you have trouble making yourself heard. You have a difficult time to get others to listen to you.
 - Earrings:  To dream that you or someone is wearing earrings suggests that you need to listen more carefully and pay attention to a message that someone is conveying to you. In particular, to see or wear pearl earrings in your dream indicates that are being given some wise advice you should follow. Alternatively, pearl earrings may serve as a memory of a person in your life who wore them.
 - Tablecloth:  To see a soiled tablecloth in your dream signifies disobedience and quarrels. Tablet *Please See Pill.
 - Wedding Dress:  To wear a wedding dress in your dream indicates that you are evaluating and assessing your personal relationship.","### Instruction:
Given dream description, interpret the meaning of the dream.  Provided also are the dream symbols that appear in the dream and their meanings.  Use the dream symbols meanings to help you interpret the dream.

### Dream:
I began to distribute the bathing suits to my family (?) two men and three women. Gave the first woman a wrinkled pink suit. When I came to the men found stiff white brassieres in their suits. At first threw them away, then thought they might be changed to eyeshades for Miss Couch. Went back to find suits but couldn't find them.

### Symbols:
- Cap And Gown:  To wear a cap and gown in your dream indicates that you are transitioning into a higher level in your life. You are ready to move on to the next stage. To see someone in a cap and gown in your dream symbolizes your successes and accomplishments.
 - Earmuffs:  To dream that you are wearing earmuffs means that you have a tendency to hear what you want to hear and not what was actually said. If you see someone else wearing earmuffs, then it implies that you have trouble making yourself heard. You have a difficult time to get others to listen to you.
 - Earrings:  To dream that you or someone is wearing earrings suggests that you need to listen more carefully and pay attention to a message that someone is conveying to you. In particular, to see or wear pearl earrings in your dream indicates that are being given some wise advice you should follow. Alternatively, pearl earrings may serve as a memory of a person in your life who wore them.
 - Tablecloth:  To see a soiled tablecloth in your dream signifies disobedience and quarrels. Tablet *Please See Pill.
 - Wedding Dress:  To wear a wedding dress in your dream indicates that you are evaluating and assessing your personal relationship.

### Interpretation:",1818,434,2e430038077cf59d9bd491643a469936,The dreamer is distributing bathing suits to her family.
"Given dream description, interpret the meaning of the dream.  Provided also are the dream symbols that appear in the dream and their meanings.  Use the dream symbols meanings to help you interpret the dream. ","I am sitting on a couch with Kathleen Corey and some other people from where I worked, presumably department heads. Another colleague is sitting opposite us in a chair, going over some enrollment figures with us.  I feel very awkward and out of place, but it seems I am needed to supply some of the information.  I don't remember what happens."," - Acquaintance:  To see an acquaintance in your dream represents aspects of yourself that you are still trying to get to know.
 - Cafeteria:  To dream that you are in a cafeteria denotes that there may be a lot of issues 'eating' you up inside.
 - Office:  To dream of your work office indicates that you cannot seem to leave your work at the office. You are overworked or have too much on your mind. Alternatively, an office symbolizes practicality, status, accomplishments and your place in the world. If the office in your dream is unfamiliar or strange, then it suggests that you are comparing yourself to someone else. You are measuring yourself against other's standards.
 - Office Chair:  To see or sit on an office chair in your dream signifies your professional mobility. Perhaps you are assessing your career path and how you can move up in the workforce. Alternatively, an office chair refers to your ability to adapt to different situations at work.
 - Partner Swapping:  To dream about partner swapping suggests that you want to add some spice to your sex life. You want to be more sexually adventurous. Consider the couple who you are swapping with for additional significance. Alternatively, the dream may mean that there are certain aspects that you wish that your significant other possess.","### Instruction:
Given dream description, interpret the meaning of the dream.  Provided also are the dream symbols that appear in the dream and their meanings.  Use the dream symbols meanings to help you interpret the dream.

### Dream:
I am sitting on a couch with Kathleen Corey and some other people from where I worked, presumably department heads. Another colleague is sitting opposite us in a chair, going over some enrollment figures with us.  I feel very awkward and out of place, but it seems I am needed to supply some of the information.  I don't remember what happens.

### Symbols:
- Acquaintance:  To see an acquaintance in your dream represents aspects of yourself that you are still trying to get to know.
 - Cafeteria:  To dream that you are in a cafeteria denotes that there may be a lot of issues 'eating' you up inside.
 - Office:  To dream of your work office indicates that you cannot seem to leave your work at the office. You are overworked or have too much on your mind. Alternatively, an office symbolizes practicality, status, accomplishments and your place in the world. If the office in your dream is unfamiliar or strange, then it suggests that you are comparing yourself to someone else. You are measuring yourself against other's standards.
 - Office Chair:  To see or sit on an office chair in your dream signifies your professional mobility. Perhaps you are assessing your career path and how you can move up in the workforce. Alternatively, an office chair refers to your ability to adapt to different situations at work.
 - Partner Swapping:  To dream about partner swapping suggests that you want to add some spice to your sex life. You want to be more sexually adventurous. Consider the couple who you are swapping with for additional significance. Alternatively, the dream may mean that there are certain aspects that you wish that your significant other possess.

### Interpretation:",1923,434,cd05679940c7880e5ed6fcea3f683b1e,Kathleen Corey is a colleague of mine. She is a department head at the school. She is sitting on a couch with Kathleen Corey and some other people from where she worked.
